OrderID,OrderDate,DaysToProcessOrder,CustomerID
1,7/13/2018,3,7827
2,7/13/2018,2,7674
3,7/13/2018,5,7736
4,7/13/2018,6,7996
5,7/13/2018,6,7567
6,7/13/2018,2,7900
7,7/13/2018,1,7582
8,7/13/2018,1,8054
9,7/13/2018,1,7976
10,7/13/2018,1,7616
11,7/13/2018,6,7749
12,7/13/2018,2,7568
13,7/13/2018,9,7892
14,7/13/2018,3,8069
15,7/13/2018,1,7846
16,7/13/2018,3,7598
17,7/13/2018,3,7829
18,7/13/2018,1,7813
19,7/13/2018,2,7826
20,7/13/2018,9,7891
21,7/13/2018,3,7763
22,7/13/2018,9,7491
23,7/13/2018,1,7663
24,7/13/2018,1,7761
25,7/13/2018,2,7499
26,7/13/2018,1,7914
27,7/13/2018,3,8086
28,7/13/2018,1,7608
29,7/13/2018,3,7612
30,7/13/2018,3,7720
31,7/13/2018,2,7648
32,7/13/2018,1,7535
33,7/13/2018,1,7572
34,7/13/2018,11,7994
35,7/13/2018,2,7493
36,7/13/2018,2,7551
37,7/13/2018,5,7960
38,7/13/2018,4,7851
39,7/13/2018,2,7013
40,7/13/2018,2,6391
41,7/13/2018,3,3865
42,7/13/2018,5,3502
43,7/13/2018,3,4
44,7/14/2018,1,5647
45,7/14/2018,9,5625
46,7/14/2018,11,6
47,7/14/2018,3,12
48,7/15/2018,1,5623
49,7/15/2018,1,5618
50,7/15/2018,1,4568
51,7/15/2018,3,5352
52,7/15/2018,1,5518
53,7/16/2018,3,5608
54,7/16/2018,1,2514
55,7/17/2018,2,5603
56,7/17/2018,1,2592
57,7/17/2018,3,5484
58,7/17/2018,2,5530
59,7/17/2018,1,3251
60,7/18/2018,9,5670
61,7/18/2018,2,5614
62,7/18/2018,3,2265
63,7/18/2018,3,2591
64,7/19/2018,11,2582
65,7/19/2018,2,3521
66,7/19/2018,6,5521
67,7/20/2018,1,2259
68,7/20/2018,2,3561
69,7/20/2018,3,5608
70,7/21/2018,2,5668
71,7/21/2018,1,239
72,7/21/2018,1,3863
73,7/21/2018,3,5630
74,7/21/2018,2,26
75,7/21/2018,3,5579
76,7/22/2018,1,5606
77,7/22/2018,3,5523
